Status,eventName,eventURL,eventStartTime,eventVenueName,eventAddress,eventCity,groupName,eventGoogleMaps,event_description
approved,Product and Strategy 103 - The How - Feasibility in Discovery,https://www.mhubchicago.com/events/product-and-strategy-103---the-how---feasibility-in-discovery--123503,,mHUB,1623 W Fulton St,Chicago,mHUB,https://maps.google.com/maps?saddr=&daddr=mHUB+1623+W+Fulton+St+1623+W+Fulton+St%2C+Chicago%2C+IL+60612%2C+US,"Cap off your journey through the mHUB Product & Strategy Workshop Series with our final installment:“THE HOW: Building for the Customer.”This session is all about bringing your product to life, focusing on the peopleyou’rebuilding for and the standards that define success. Workshop Overview: Personas Defined:Dive into the details of your ideal customer profiles.We’llhelp you flesh out personas with age, gender, income, and empathy details to ensure your solution is perfectly tailored. Acceptance Criteria:Learn to set clear, actionable standards for your product development.We’llintroduce the concept of Acceptance Criteria (AC) and how it translates business assumptions into functional requirements. Product Requirements Documentation (PRD):Transition from AC to the specifics of your product. Whetherit’sdesign, materials, or technology,we’llguide you through drafting a PRD that aligns with your business strategy. Pre-Workshop Preparation (required worksheet to be sent upon registration): Refine Your Problem Statement:Update your summary of the problem you are solving in 2-3 sentences. Develop Your Personas:Create detailed profiles for at least two personas for whom you are solving a problem. Assumptions and Hypotheses:Review and bring your latest business and product assumptions, ready to transform them into testable hypotheses. Draft Acceptance Criteria:List everything that must be true about your first build, focusing on functionality rather than technical execution. Example Case Study: We’llexamine a startup creating a new device for fitness enthusiasts, analyzing their personas, acceptance criteria, and howthey’vedocumented their product requirements. Recommended Resources (links to be sent upon registration): “Who is the Why” deck for empathy reminders mHUB documents on Personas and PRD Join us for this hands-on workshop and master ‘THE HOW’ behind creating products that resonate with your customers and meet the highest standards of excellence."
approved,mHUB Industry Disruptors - Matt Hulsizer and Jenny Just,https://www.mhubchicago.com/events/mhub-industry-disruptors---matt-hulsizer-and-jenny-just-122457,,mHUB,1623 W Fulton St,Chicago,mHUB,https://maps.google.com/maps?saddr=&daddr=mHUB+1623+W+Fulton+St+1623+W+Fulton+St%2C+Chicago%2C+IL+60612%2C+US,"mHUB Industry Disruptors is an event series featuring some of the best and brightest innovators, founders, and thought leaders in the hardtech and product development space. Join mHUB for the first Industry Disruptors event of the 2025 season. Featuring two of the most influential figures in finance and entrepreneurship, Matt Hulsizer and Jenny Just, co-founders and managing partners of PEAK6 Investments. Drawing from their extraordinary journey of transforming a $1.5M startup into a multi-billion-dollar empire, Matt and Jenny will share invaluable advice for founders, insights into early-stage fundraising, and their perspectives on emerging market trends. With decades of experience in spotting untapped opportunities and mentoring the next generation of innovators, Matt and Jenny's discussion promises to inspire and empower entrepreneurs in navigating the challenges of building successful ventures. Whether you're a founder, investor, or enthusiast, this keynote is an unmissable opportunity to learn from two pioneers shaping the future of business. On Thursday, February 13, hear Co-Founders and Managing Partners, Matt Hulsizer and Jenny Just Thursday, February 13 mHUB - 1623 W. Fulton Street, Chicago, IL 60612 5:30 – 6:00pm – doors open and registration 6:00 – 7:00pm – fireside conversation 7:00 – 8:00 pm – beer and wine reception Special thanks to event sponsor:Bank of America"
approved,From Managers to Directors: Stories of Growth from Three Product Leaders,https://www.meetup.com/chipma/events/305182993/,,Tegus,200 N. LaSalle Street. Suite 1100,Chicago,Chicago Product Management Association,https://www.google.com/maps/search/?api=1&query=41.886063%2C%20-87.633026,"**Hosting Company:** Alphasense (former Tegus Offices) 
**Event Description**
Curious about what it takes to become a Product Director? Join us on a panel with three experienced Product Leaders as they share their career journeys, the skills that helped them succeed, and the challenges of leading at the director level. Whether you're aspiring to this role or simply curious, this event will provide valuable perspectives and practical advice.

**Here are our panelists:**
**[Anna-Mi Widman](https://www.linkedin.com/in/annamiwidman/):** She is the current Director of Product at
Ubiety Technologies. Ubiety develops advanced AI technology, software, and hardware solutions to detect and understand people’s physical presence via wireless devices. Before joining Ubiety, Anna-Mi was the Product Director at Built-In.

**[Becky Coletta](https://www.linkedin.com/in/bcoletta/):** She is currently the Global Director of Product Management for Customer Value at McDonald's. She has also held similar Product Director roles within McDonald's in the past.

**[Thierry Roullier](https://www.linkedin.com/in/thierryroullier/):** He is the current Director of Product at JuiceMedia.IO, helping brands and agencies get more out of their multi-channel marketing budgets via actionable measurement and optimization. Thierry has also lead as Product Director for other companies in the same business space such as Infogix, Conversant, and Catalina USA.

**AGENDA**
5:45 - 6:15 --- Food & Mingle
6:30 - 7:30 --- Presentation and Q&A
7:30 - 8:00 --- Networking"
approved,Socratic Seminar,https://www.meetup.com/chibitdevs/events/jqtzltyhcdbrb/,,200 N La Salle St,200 N La Salle St,Chicago,Chicago BITDEVS,https://www.google.com/maps/search/?api=1&query=41.88607%2C%20-87.63303,"Please note that Chicago BitDevs aims at a technical audience. A general expectation is that people are quite familiar with the design, security, and specification of Bitcoin. Everyone is welcome and we encourage newcomers to observe, but it is unlikely that we will spend time answering introductory questions. Newcomers to bitcoin should make sure check out the Bitcoin & Open Blockchain meetup at [https://www.meetup.com/Bitcoin-Open-Blockchain-Community-Chicago/](https://www.meetup.com/Bitcoin-Open-Blockchain-Community-Chicago/) . 
Check out [https://ChicagoBitDevs.github.io](https://ChicagoBitDevs.github.io) as the meetup draws near for the topic list."
approved,NERP is not exclusively Raspberry Pi,https://www.meetup.com/nerp-not-exclusively-raspberry-pi/events/jvfqvsyhcdbwb/,,Pumping Station: One,3519 N. Elston Ave.,Chicago,NERP - Not Exclusively Raspberry Pi,https://www.google.com/maps/search/?api=1&query=41.945292%2C%20-87.706675,"NERP is Not Exclusively Raspberry Pi, the small computer and embedded systems interest group at Pumping Station One in Chicago. (Chicago's oldest and finest hackerspace.) NERP is discussion driven. There may or may not be a scheduled speaker or meeting topic. NERP provides a place for learning, discussing, and experimenting with open source hardware and software. Also, electronic sensing and control, general electronics, and early history of computing machines and process control, and the Raspberry Pi and friends, of course. And whatever related topic you want to discuss. NERP meets every other Monday at Pumping Station:One
http://pumpingstationone.org/
The meeting is free and open to the public.
If you would like to show your work or lead a discussion, contact Ed (the meetup organiser) to schedule a day.
We are hosted by Pumping Station One, 3519 N. Elston Ave in Chicago. PS1's mission is to foster a collaborative environment wherein people can explore and create intersections between technology, science, art, and culture. NERP and other PS1 interests and activities can be seen at the PS1 blog.
http://pumpingstationone.org/"
approved,Engineering Focus 2025: E-Week Luncheon,https://www.chicagoengineersfoundation.org/events/engineering-focus-luncheon/,,Union League Club of Chicago,,,,,"Engineering Focus is the annual kick-off to National Engineers Week in Chicago. This year’s luncheon at the Union League Club of Chicago is an exciting opportunity for professionals, educators, and students to be inspired and celebrate the future of engineering. 
Panelists
Commissioner Jamie Rhee: Department of Aviation, City of Chicago (bio)
Commissioner Tom Carney: Department of Transportation, City of Chicago (bio)
Commissioner Randy Conner: Department of Water Management, City of Chicago (bio)"
approved,Founder’s Therapy - Coffee Roundtable - Q3 2024,https://www.meetup.com/founders-therapy/events/hrtlntyhcdbbc/,,Bitter Pops,"3345 N Lincoln Ave,",Chicago,Founder’s Therapy - Chicago,https://www.google.com/maps/search/?api=1&query=41.942886%2C%20-87.670509,"Starting a company is hard. Join us for coffee, bring a problem you are having, and get perspective from other founders. 
Meet some cool people as well!

**STRUCTURE**
Introductions
\- Your name\, what you are working on\, share one good and one bad thing that happened in the past two weeks\. \(<5 min per person\)

Share problems and seek insights with the group
\- Deep dive on a few challenges founders are facing \(i\.e\. struggling to raising capital\, prototype feedback\, disgruntled employee\)
\- Others share how they would approach it

Networking
\- Make connections
\- Give support
\- Learn something new"
approved,"Tech Pulse 2030: Emerging Technologies, Responsible Innovation, and Entrepreneur",https://www.meetup.com/ai-2030-responsible-artificial-intelligence/events/nzcdptyhcfbgb/,,1871,222 W Merchandise Mart Plaza #1212,Chicago,AI 2030: Responsible Artificial Intelligence for All,https://www.google.com/maps/search/?api=1&query=41.888386%2C%20-87.63627,"Tech Pulse 2030 is more than an event series—it's a movement. Rooted in Chicago’s vibrant tech scene, it inspires innovation by showcasing the brightest minds in Web3, FinTech, AI, and quantum computing. It offers immersive experiences that explore the real-world impact of emerging technologies, fostering deep engagement among leaders, entrepreneurs, and changemakers. Together, we’re shaping a future where responsible innovation drives meaningful progress for businesses and society alike."
approved,Founder’s Therapy - Coffee Roundtable - Q3 2024,https://www.meetup.com/founders-therapy/events/hrtlntyhcfbjb/,,Bitter Pops,"3345 N Lincoln Ave,",Chicago,Founder’s Therapy - Chicago,https://www.google.com/maps/search/?api=1&query=41.942886%2C%20-87.670509,"Starting a company is hard. Join us for coffee, bring a problem you are having, and get perspective from other founders. 
Meet some cool people as well!

**STRUCTURE**
Introductions
\- Your name\, what you are working on\, share one good and one bad thing that happened in the past two weeks\. \(<5 min per person\)

Share problems and seek insights with the group
\- Deep dive on a few challenges founders are facing \(i\.e\. struggling to raising capital\, prototype feedback\, disgruntled employee\)
\- Others share how they would approach it

Networking
\- Make connections
\- Give support
\- Learn something new"
approved,ChiPy Algorithm SIG,https://www.meetup.com/_chipy_/events/302396651/,,TBD,Looking for a host,Chicago,ChiPy: Chicago's Official Python User Group,https://www.google.com/maps/search/?api=1&query=41.878113%2C%20-87.6298,"IMPORTANT NOTE: IN-PERSON event at To Be Determined location. We haven't found a space yet for this event. If we find one, we will be in the loop downtown. (Please message Kevin if your company is interested in providing a space). Otherwise the backup option is the the bar Holiday Club in Uptown/Lakeview. Please bring your laptops! 
Algorithm SIG (Algo SIG) is a dedicated Special Interest Group to discuss and practice all things algorithms! Having a solid understanding of algorithms and data structure is an important aspect of designing better software. That’s why many coding interviews require a good grasp of algorithms. This SIG is dedicated to solving computer science problems with discussions so we can all get better together.

AGENDA
6:30 - Doors open & meet and greet
6:45 - Intro Slides & problem descriptions
7:00 - Start solving problems
8:00 - Reconvene & go over solutions
8:15 - Close of the event"
approved,March – Chi Indie Hacker Happy Hour @ Pilot Brewing,https://www.meetup.com/chicago-indie-hackers/events/304775294/,,Pilot Project Brewing,2140 N Milwaukee Ave,Chicago,Chicago Indie Hackers,https://www.google.com/maps/search/?api=1&query=41.919945%2C%20-87.69298,"Pilot Project Brewing is located on Milwaukee Ave between the Western and California blue line stops. Parking is available on Milwaukee and nearby side streets. 
No agenda or anything organized. Feel free to come early, get some work done at the tables reserved, get some brews and meet up with fellow Indie Hackers.

Non-alcoholic beverages will be available. They also have food for purchase. No outside food please.

We'll be implementing the [Pacman Rule](https://www.ericholscher.com/blog/2017/aug/2/pacman-rule-conferences/) at this meetup:

"When standing as a group of people, always leave room for 1 person to join your group. More memorably, stand like Pac-Man!

The new person, who has been given permission to join your group, will gather up the courage, and join you! Another important point, the group should now readjust to leave another space for a new person.

Leaving room for new people when standing in a group is a physical way to show an inclusive and welcoming environment. It reduces the feeling of there being cliques, and allows people to integrate themselves into the community."

New to Indie Hackers? Learn more here: https://www.indiehackers.com/start"
approved,Founder’s Therapy - Coffee Roundtable - Q3 2024,https://www.meetup.com/founders-therapy/events/hrtlntyhcfbbc/,,Bitter Pops,"3345 N Lincoln Ave,",Chicago,Founder’s Therapy - Chicago,https://www.google.com/maps/search/?api=1&query=41.942886%2C%20-87.670509,"Starting a company is hard. Join us for coffee, bring a problem you are having, and get perspective from other founders. 
Meet some cool people as well!

**STRUCTURE**
Introductions
\- Your name\, what you are working on\, share one good and one bad thing that happened in the past two weeks\. \(<5 min per person\)

Share problems and seek insights with the group
\- Deep dive on a few challenges founders are facing \(i\.e\. struggling to raising capital\, prototype feedback\, disgruntled employee\)
\- Others share how they would approach it

Networking
\- Make connections
\- Give support
\- Learn something new"
approved,"Tech Pulse 2030: Emerging Technologies, Responsible Innovation, and Entrepreneur",https://www.meetup.com/ai-2030-responsible-artificial-intelligence/events/nzcdptyhcgbcb/,,1871,222 W Merchandise Mart Plaza #1212,Chicago,AI 2030: Responsible Artificial Intelligence for All,https://www.google.com/maps/search/?api=1&query=41.888386%2C%20-87.63627,"Tech Pulse 2030 is more than an event series—it's a movement. Rooted in Chicago’s vibrant tech scene, it inspires innovation by showcasing the brightest minds in Web3, FinTech, AI, and quantum computing. It offers immersive experiences that explore the real-world impact of emerging technologies, fostering deep engagement among leaders, entrepreneurs, and changemakers. Together, we’re shaping a future where responsible innovation drives meaningful progress for businesses and society alike."
approved,Founder’s Therapy - Coffee Roundtable - Q3 2024,https://www.meetup.com/founders-therapy/events/hrtlntyhcgbfb/,,Bitter Pops,"3345 N Lincoln Ave,",Chicago,Founder’s Therapy - Chicago,https://www.google.com/maps/search/?api=1&query=41.942886%2C%20-87.670509,"Starting a company is hard. Join us for coffee, bring a problem you are having, and get perspective from other founders. 
Meet some cool people as well!

**STRUCTURE**
Introductions
\- Your name\, what you are working on\, share one good and one bad thing that happened in the past two weeks\. \(<5 min per person\)

Share problems and seek insights with the group
\- Deep dive on a few challenges founders are facing \(i\.e\. struggling to raising capital\, prototype feedback\, disgruntled employee\)
\- Others share how they would approach it

Networking
\- Make connections
\- Give support
\- Learn something new"
approved,ChiPy Algorithm SIG,https://www.meetup.com/_chipy_/events/302396652/,,TBD,Looking for a host,Chicago,ChiPy: Chicago's Official Python User Group,https://www.google.com/maps/search/?api=1&query=41.878113%2C%20-87.6298,"IMPORTANT NOTE: IN-PERSON event at To Be Determined location. We haven't found a space yet for this event. If we find one, we will be in the loop downtown. (Please message Kevin if your company is interested in providing a space). Otherwise the backup option is the the bar Holiday Club in Uptown/Lakeview. Please bring your laptops! 
Algorithm SIG (Algo SIG) is a dedicated Special Interest Group to discuss and practice all things algorithms! Having a solid understanding of algorithms and data structure is an important aspect of designing better software. That’s why many coding interviews require a good grasp of algorithms. This SIG is dedicated to solving computer science problems with discussions so we can all get better together.

AGENDA
6:30 - Doors open & meet and greet
6:45 - Intro Slides & problem descriptions
7:00 - Start solving problems
8:00 - Reconvene & go over solutions
8:15 - Close of the event"
approved,Founder’s Therapy - Coffee Roundtable - Q3 2024,https://www.meetup.com/founders-therapy/events/hrtlntyhchbcb/,,Bitter Pops,"3345 N Lincoln Ave,",Chicago,Founder’s Therapy - Chicago,https://www.google.com/maps/search/?api=1&query=41.942886%2C%20-87.670509,"Starting a company is hard. Join us for coffee, bring a problem you are having, and get perspective from other founders. 
Meet some cool people as well!

**STRUCTURE**
Introductions
\- Your name\, what you are working on\, share one good and one bad thing that happened in the past two weeks\. \(<5 min per person\)

Share problems and seek insights with the group
\- Deep dive on a few challenges founders are facing \(i\.e\. struggling to raising capital\, prototype feedback\, disgruntled employee\)
\- Others share how they would approach it

Networking
\- Make connections
\- Give support
\- Learn something new"
approved,"Tech Pulse 2030: Emerging Technologies, Responsible Innovation, and Entrepreneur",https://www.meetup.com/ai-2030-responsible-artificial-intelligence/events/nzcdptyhchbjb/,,1871,222 W Merchandise Mart Plaza #1212,Chicago,AI 2030: Responsible Artificial Intelligence for All,https://www.google.com/maps/search/?api=1&query=41.888386%2C%20-87.63627,"Tech Pulse 2030 is more than an event series—it's a movement. Rooted in Chicago’s vibrant tech scene, it inspires innovation by showcasing the brightest minds in Web3, FinTech, AI, and quantum computing. It offers immersive experiences that explore the real-world impact of emerging technologies, fostering deep engagement among leaders, entrepreneurs, and changemakers. Together, we’re shaping a future where responsible innovation drives meaningful progress for businesses and society alike."
approved,"Tech Pulse 2030: Emerging Technologies, Responsible Innovation, and Entrepreneur",https://www.meetup.com/ai-2030-responsible-artificial-intelligence/events/nzcdptyhcjbfb/,,1871,222 W Merchandise Mart Plaza #1212,Chicago,AI 2030: Responsible Artificial Intelligence for All,https://www.google.com/maps/search/?api=1&query=41.888386%2C%20-87.63627,"Tech Pulse 2030 is more than an event series—it's a movement. Rooted in Chicago’s vibrant tech scene, it inspires innovation by showcasing the brightest minds in Web3, FinTech, AI, and quantum computing. It offers immersive experiences that explore the real-world impact of emerging technologies, fostering deep engagement among leaders, entrepreneurs, and changemakers. Together, we’re shaping a future where responsible innovation drives meaningful progress for businesses and society alike."
approved,ChiPy Algorithm SIG,https://www.meetup.com/_chipy_/events/302396654/,,TBD,Looking for a host,Chicago,ChiPy: Chicago's Official Python User Group,https://www.google.com/maps/search/?api=1&query=41.878113%2C%20-87.6298,"IMPORTANT NOTE: IN-PERSON event at To Be Determined location. We haven't found a space yet for this event. If we find one, we will be in the loop downtown. (Please message Kevin if your company is interested in providing a space). Otherwise the backup option is the the bar Holiday Club in Uptown/Lakeview. Please bring your laptops! 
Algorithm SIG (Algo SIG) is a dedicated Special Interest Group to discuss and practice all things algorithms! Having a solid understanding of algorithms and data structure is an important aspect of designing better software. That’s why many coding interviews require a good grasp of algorithms. This SIG is dedicated to solving computer science problems with discussions so we can all get better together.

AGENDA
6:30 - Doors open & meet and greet
6:45 - Intro Slides & problem descriptions
7:00 - Start solving problems
8:00 - Reconvene & go over solutions
8:15 - Close of the event"
approved,"Tech Pulse 2030: Emerging Technologies, Responsible Innovation, and Entrepreneur",https://www.meetup.com/ai-2030-responsible-artificial-intelligence/events/nzcdptyhckbcb/,,1871,222 W Merchandise Mart Plaza #1212,Chicago,AI 2030: Responsible Artificial Intelligence for All,https://www.google.com/maps/search/?api=1&query=41.888386%2C%20-87.63627,"Tech Pulse 2030 is more than an event series—it's a movement. Rooted in Chicago’s vibrant tech scene, it inspires innovation by showcasing the brightest minds in Web3, FinTech, AI, and quantum computing. It offers immersive experiences that explore the real-world impact of emerging technologies, fostering deep engagement among leaders, entrepreneurs, and changemakers. Together, we’re shaping a future where responsible innovation drives meaningful progress for businesses and society alike."
approved,International Conference on Monte Carlo Methods and Applications (MCM),https://ccbatiit.github.io/mcm2025/,,Illinois Institute of Technology,,,,,"The biennial International Conference on Monte Carlo Methods and Applications (MCM) (formerly IMACS Seminar on Monte Carlo Methods) is one of the most prominent conference series devoted to research on stochastic simulation and Monte Carlo methods. The 15th edition, MCM 2025, will take place from July 28 to August 1, 2025, at the Illinois Institute of Technology, Chicago, US. MCM 2025 brings together a multidisciplinary community of Monte Carlo researchers and practitioners to share their latest discoveries."
approved,Founder Networking,https://www.meetup.com/chicagoleanstartup/events/305471384/,,Moes Cantina & Old Crow Smokehouse River North,149 West Kinzie St,Chicago,Chicago Lean Startup Circle,https://www.google.com/maps/search/?api=1&query=41.88885%2C%20-87.63303,"If you have a startup idea or a growing company and you want to expand your network in Chicago, then join us for the in-person 'Founder Night Out' event sponsored by [Founder Institute](https://fi.co/apply/chicago) 
At this informal networking event, you can connect with other early-stage entrepreneurs, startup mentors, and advisors from the Founder Institute network. Socialize over drinks with potential co-founders, advisors, mentors and partners. Most of all, get away from the computer and have fun! Our event will be hosted by Three Three Cities Social, which is a member-driven social club in River North designed to build real community. Light food and drinks will be provided.

### Who should Attend?

* **Anyone interested in entrepreneurship**
* Anyone who has a pre-seed tech company or a startup idea
* Anyone interested in joining a startup accelerator

### What is the Agenda?

* Networking, Socializing and Drinks"
approved,"Tech Pulse 2030: Emerging Technologies, Responsible Innovation, and Entrepreneur",https://www.meetup.com/ai-2030-responsible-artificial-intelligence/events/305455980/,,1871,222 W Merchandise Mart Plaza #1212,Chicago,AI 2030: Responsible Artificial Intelligence for All,https://www.google.com/maps/search/?api=1&query=41.888386%2C%20-87.63627,"Tech Pulse 2030 is more than an event series—it's a movement. Rooted in Chicago’s vibrant tech scene, it inspires innovation by showcasing the brightest minds in Web3, FinTech, AI, and quantum computing. It offers immersive experiences that explore the real-world impact of emerging technologies, fostering deep engagement among leaders, entrepreneurs, and changemakers. Together, we’re shaping a future where responsible innovation drives meaningful progress for businesses and society alike."
